name,type,amphoe_id,id
องค์การบริหารส่วนตำบลโคกไทย,อบต.,3014,3014008
องค์การบริหารส่วนตำบลตะขบ,อบต.,3014,3014009
องค์การบริหารส่วนตำบลดอน,อบต.,3014,3014010
องค์การบริหารส่วนตำบลตูม,อบต.,3014,3014011
องค์การบริหารส่วนตำบลงิ้ว,อบต.,3014,3014012
องค์การบริหารส่วนตำบลสะแกราช,อบต.,3014,3014013
องค์การบริหารส่วนตำบลภูหลวง,อบต.,3014,3014014
องค์การบริหารส่วนตำบลธงชัยเหนือ,อบต.,3014,3014015
องค์การบริหารส่วนตำบลสุขเกษม,อบต.,3014,3014016
องค์การบริหารส่วนตำบลเกษมทรัพย์,อบต.,3014,3014017
เทศบาลตำบลพิมาย,เทศบาลตำบล,3015,3015001
เทศบาลตำบลรังกาใหญ่,เทศบาลตำบล,3015,3015002
องค์การบริหารส่วนตำบลในเมือง,อบต.,3015,3015003
องค์การบริหารส่วนตำบลสัมฤทธิ์,อบต.,3015,3015004
องค์การบริหารส่วนตำบลโบสถ์,อบต.,3015,3015005
องค์การบริหารส่วนตำบลกระเบื้องใหญ่,อบต.,3015,3015006
องค์การบริหารส่วนตำบลท่าหลวง,อบต.,3015,3015007
องค์การบริหารส่วนตำบลชีวาน,อบต.,3015,3015008
องค์การบริหารส่วนตำบลนิคมสร้างตนเอง,อบต.,3015,3015009
องค์การบริหารส่วนตำบลกระชอน,อบต.,3015,3015010
องค์การบริหารส่วนตำบลดงใหญ่,อบต.,3015,3015011
องค์การบริหารส่วนตำบลธารละหลอด,อบต.,3015,3015012
เทศบาลตำบลห้วยแถลง,เทศบาลตำบล,3016,3016001
เทศบาลตำบลหินดาด,เทศบาลตำบล,3016,3016002
เทศบาลตำบลกงรถ,เทศบาลตำบล,3016,3016003
องค์การบริหารส่วนตำบลห้วยแถลง,อบต.,3016,3016004
องค์การบริหารส่วนตำบลทับสวาย,อบต.,3016,3016005
องค์การบริหารส่วนตำบลเมืองพลับพลา,อบต.,3016,3016006
องค์การบริหารส่วนตำบลหลุ่งตะเคียน,อบต.,3016,3016007
องค์การบริหารส่วนตำบลหลุ่งประดู่,อบต.,3016,3016008
องค์การบริหารส่วนตำบลตะโก,อบต.,3016,3016009
องค์การบริหารส่วนตำบลห้วยแคน,อบต.,3016,3016010
เทศบาลตำบลชุมพวง,เทศบาลตำบล,3017,3017001
องค์การบริหารส่วนตำบลชุมพวง,อบต.,3017,3017002
องค์การบริหารส่วนตำบลประสุข,อบต.,3017,3017003
องค์การบริหารส่วนตำบลท่าลาด,อบต.,3017,3017004
องค์การบริหารส่วนตำบลสาหร่าย,อบต.,3017,3017005
องค์การบริหารส่วนตำบลโนนรัง,อบต.,3017,3017006
องค์การบริหารส่วนตำบลหนองหลัก,อบต.,3017,3017007
องค์การบริหารส่วนตำบลโนนตูม,อบต.,3017,3017008
องค์การบริหารส่วนตำบลโนนยอ,อบต.,3017,3017009
เทศบาลตำบลสูงเนิน,เทศบาลตำบล,3018,3018001
เทศบาลตำบลกุดจิก,เทศบาลตำบล,3018,3018002
องค์การบริหารส่วนตำบลสูงเนิน,อบต.,3018,3018003
องค์การบริหารส่วนตำบลเสมา,อบต.,3018,3018004
องค์การบริหารส่วนตำบลโคราช,อบต.,3018,3018005
องค์การบริหารส่วนตำบลบุ่งขี้เหล็ก,อบต.,3018,3018006
องค์การบริหารส่วนตำบลโนนค่า,อบต.,3018,3018007
องค์การบริหารส่วนตำบลโค้งยาง,อบต.,3018,3018008
องค์การบริหารส่วนตำบลมะเกลือเก่า,อบต.,3018,3018009
องค์การบริหารส่วนตำบลมะเกลือใหม่,อบต.,3018,3018010
องค์การบริหารส่วนตำบลนากลาง,อบต.,3018,3018011
องค์การบริหารส่วนตำบลหนองตะไก้,อบต.,3018,3018012
องค์การบริหารส่วนตำบลกุดจิก,อบต.,3018,3018013
เทศบาลตำบลขามทะเลสอ,เทศบาลตำบล,3019,3019001
เทศบาลตำบลพันดุง,เทศบาลตำบล,3019,3019002
องค์การบริหารส่วนตำบลขามทะเลสอ,อบต.,3019,3019003
องค์การบริหารส่วนตำบลโป่งแดง,อบต.,3019,3019004
องค์การบริหารส่วนตำบลหนองสรวง,อบต.,3019,3019005
องค์การบริหารส่วนตำบลบึงอ้อ,อบต.,3019,3019006
เทศบาลเมืองสีคิ้ว,เทศบาลเมือง,3020,3020001
เทศบาลตำบลคลองไผ่,เทศบาลตำบล,3020,3020002
เทศบาลตำบลลาดบัวขาว,เทศบาลตำบล,3020,3020003
เทศบาลตำบลหนองน้ำใส,เทศบาลตำบล,3020,3020004
องค์การบริหารส่วนตำบลสีคิ้ว,อบต.,3020,3020005
องค์การบริหารส่วนตำบลบ้านหัน,อบต.,3020,3020006
องค์การบริหารส่วนตำบลกฤษณา,อบต.,3020,3020007
องค์การบริหารส่วนตำบลลาดบัวขาว,อบต.,3020,3020008
องค์การบริหารส่วนตำบลหนองหญ้าขาว,อบต.,3020,3020009
องค์การบริหารส่วนตำบลกุดน้อย,อบต.,3020,3020010
องค์การบริหารส่วนตำบลวังโรงใหญ่,อบต.,3020,3020011
องค์การบริหารส่วนตำบลมิตรภาพ,อบต.,3020,3020012
องค์การบริหารส่วนตำบลคลองไผ่,อบต.,3020,3020013
องค์การบริหารส่วนตำบลดอนเมือง,อบต.,3020,3020014
องค์การบริหารส่วนตำบลหนองบัวน้อย,อบต.,3020,3020015
เทศบาลเมืองปากช่อง,เทศบาลเมือง,3021,3021001
เทศบาลตำบลกลางดง,เทศบาลตำบล,3021,3021002
เทศบาลตำบลสีมามงคล,เทศบาลตำบล,3021,3021003
เทศบาลตำบลหมูสี,เทศบาลตำบล,3021,3021004
เทศบาลตำบลวังไทร,เทศบาลตำบล,3021,3021005
องค์การบริหารส่วนตำบลปากช่อง,อบต.,3021,3021006
องค์การบริหารส่วนตำบลจันทึก,อบต.,3021,3021007
องค์การบริหารส่วนตำบลวังกะทะ,อบต.,3021,3021008
องค์การบริหารส่วนตำบลหนองสาหร่าย,อบต.,3021,3021009
องค์การบริหารส่วนตำบลขนงพระ,อบต.,3021,3021010
องค์การบริหารส่วนตำบลโป่งตาลอง,อบต.,3021,3021011
องค์การบริหารส่วนตำบลคลองม่วง,อบต.,3021,3021012
องค์การบริหารส่วนตำบลหนองน้ำแดง,อบต.,3021,3021013
องค์การบริหารส่วนตำบลพญาเย็น,อบต.,3021,3021014
เทศบาลตำบลหนองหัวแรต,เทศบาลตำบล,3022,3022001
เทศบาลตำบลแหลมทอง,เทศบาลตำบล,3022,3022002
องค์การบริหารส่วนตำบลหนองบุนนาก,อบต.,3022,3022003
องค์การบริหารส่วนตำบลสารภี,อบต.,3022,3022004
องค์การบริหารส่วนตำบลไทยเจริญ,อบต.,3022,3022005
องค์การบริหารส่วนตำบลลุงเขว้า,อบต.,3022,3022006
องค์การบริหารส่วนตำบลหนองไม้ไผ่,อบต.,3022,3022007
เทศบาลตำบลบึงสำโรง,เทศบาลตำบล,3023,3023001
องค์การบริหารส่วนตำบลแก้งสนามนาง,อบต.,3023,3023002
องค์การบริหารส่วนตำบลโนนสำราญ,อบต.,3023,3023003
องค์การบริหารส่วนตำบลบึงพะไล,อบต.,3023,3023004
เทศบาลตำบลโนนแดง,เทศบาลตำบล,3024,3024001
เทศบาลตำบลวังหิน,เทศบาลตำบล,3024,3024002
องค์การบริหารส่วนตำบลโนนแดง,อบต.,3024,3024003
องค์การบริหารส่วนตำบลโนนตาเถร,อบต.,3024,3024004
องค์การบริหารส่วนตำบลสำพะเนียง,อบต.,3024,3024005
องค์การบริหารส่วนตำบลดอนยาวใหญ่,อบต.,3024,3024006
เทศบาลตำบลศาลเจ้าพ่อ,เทศบาลตำบล,3025,3025001
องค์การบริหารส่วนตำบลวังน้ำเขียว,อบต.,3025,3025002
องค์การบริหารส่วนตำบลวังหมี,อบต.,3025,3025003
องค์การบริหารส่วนตำบลระเริง,อบต.,3025,3025004
องค์การบริหารส่วนตำบลอุดมทรัพย์,อบต.,3025,3025005
องค์การบริหารส่วนตำบลไทยสามัคคี,อบต.,3025,3025006
